corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
AEL202,Cinda International Securities Limited,BLR906,LI Xiangyu,李翔宇,"1,4"
AEL202,Cinda International Securities Limited,ALD403,YUNG Wing Chung,翁詠聰,"1,4"
AEL202,Cinda International Securities Limited,BXU269,ZHAN Jiang,展江,"1,4"
AEM356,Core Pacific-Yamaichi Capital Limited,ACR603,LEE Yat Ming,李日明,1
AEM356,Core Pacific-Yamaichi Capital Limited,ANH163,LUI Kwan Ho,呂君皓,6
AEM356,Core Pacific-Yamaichi Capital Limited,AEP269,"TANG Kwan Hui, Ronny",鄧君栩,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BAZ566,CANG Tianyang,倉天楊,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ABG469,CHAN Ka Chun,陳家俊,"2,5"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ACN231,CHAN Wing Hing Barry,陳永興,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BGK953,CHEN Han,陳涵,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BBM220,CHEN Jianheng,陳健恒,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BGG784,CHEN Jiaxin,陳家鑫,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,ALV331,CHEN Wan,陳宛,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AWY297,CHEN Yali,陳亞麗,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ALZ159,CHEN Yan,陳彥,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ATJ227,CHEN Yongren,陳永仁,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BOG688,CHEN Zhenhong,陳振宏,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AHA614,CHING David,秦思良,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AJC170,CONG Hui,,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BGU213,DIAO Zhihai,刁智海,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BBZ161,DING Chen,丁辰,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BCB549,FAN Yang,范陽,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,AXD116,GONG Shu,龔姝,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BUA170,GUO Buchao,郭步超,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,ALI461,HE Hongyu,何紅宇,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,AVY494,JIA Xiaofang Janessa,賈曉放,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AKI414,KONG Wei,孔蔚,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,AXZ758,LAN Yang,蘭陽,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ALW219,LAU Tsz Wing,劉子頴,"1,2,4,5"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AXF284,LEUNG Sui Pan,梁萃斌,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BMT388,LI Binnan,李彬楠,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BFU578,LI Biying,李碧莹,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BES022,LI Jie,李杰,6
AEN894,China International Capital Corporation Hong Kong Securities Limited,BCU037,LI Xin,李鑫,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ASC960,LI Yan,李岩,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BEW537,LIANG Jin,梁錦,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ASF476,LIN Ning,林宁,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,APB993,"LIT Ho Man, Vienna",列皓敏,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BDE493,LIU Fei,劉飛,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BEZ909,LIU Jiangyue,劉江月,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BDF375,LIU Qingchuan,劉晴川,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BBV148,LOU Xinyu,樓欣宇,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BOP071,LU Chengchun,陸澄淳,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BFK474,LU Yao,盧遙,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BNC831,LUO Difei,駱滌非,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,AQS758,LUO Xuan,羅烜,"1,2,4,5"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BHY101,MO Yulu,莫雨璐,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BGL115,NIU Jingyi,牛靜怡,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BRI221,PAN Wei,潘偉,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,ARI892,PENG Wensheng,彭文生,4
AEN894,China International Capital Corporation Hong Kong Securities Limited,AYJ115,PUN Hei Wai,潘熙威,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BBN537,RAN Miao,冉淼,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BBR070,REN Mengqi,任孟琦,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BNI275,REN Peiran,任沛然,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BEX239,SHENG Jiali,盛佳麗,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,ALU934,SHI Qi,施琦,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BJG757,SIN Tak Keung,單德强,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BLX804,SUN Tianshu,孫天姝,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,ARS482,TIAN Xiaolei,田小磊,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BEA501,TSANG Chi Chung,曾智聰,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BVT823,WANG Benlin,王本林,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,AND454,WANG Hanfeng,王汉鋒,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BHJ011,WANG Junqi,王浚淇,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BSD384,WANG Ke,王可,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BIW988,WANG Meng,王梦,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AZC884,WANG Weiran,王未然,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BGM251,WANG Zhou,王舟,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AER067,WONG Chi Man,黃智雯,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AUZ699,WU Huimin,吳慧敏,"1,4"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BHT089,WU Ke,吳科,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BBU531,XIN Fusong,辛俯嵩,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BBH324,XU Jia,許佳,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AZN499,XU Wei,徐煒,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,AXO623,YANG Lin,楊琳,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BKS167,YANG Rui,楊睿,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,AHK750,"YIP Kai Sun, Sunny",葉啟燊,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BFU750,YU Shuo,于碩,6
AEN894,China International Capital Corporation Hong Kong Securities Limited,AWW324,YU Weijiang,于維疆,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BFX877,ZHANG Hongyi,張洪一,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BIO049,ZHANG Shang,張尚,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BGS840,ZHANG Xing,張興,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BNO698,ZHANG Yongcheng,張永誠,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BMH292,ZHAO Jie,招傑,6
AEN894,China International Capital Corporation Hong Kong Securities Limited,BAR460,ZHONG Li,鍾犁,"1,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BGL112,ZHOU Jiaxing,周佳興,"1,4,6"
AEN894,China International Capital Corporation Hong Kong Securities Limited,BTH281,ZHOU Jishen,周濟申,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BUA742,ZHOU shanshan,周姗姗,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BAF197,ZHU Fengyin,朱馮寅,1
AEN894,China International Capital Corporation Hong Kong Securities Limited,BLN436,ZOU Longwen,鄒櫳文,6
AEO675,Cheer Union Securities Limited,AMK223,FUNG Kam Hung,馮錦鴻,"1,4"
AEO675,Cheer Union Securities Limited,AUQ942,WAN Hung Ha,尹紅霞,"1,4"
AEX690,China Everbright Forex & Futures (HK) Limited,AGD033,KO Chi Wing,高志榮,"2,3"
AEQ982,CNCB (Hong Kong) Capital Limited,AOV557,CHAN Ho Pok,陳浩博,9
AEQ982,CNCB (Hong Kong) Capital Limited,ACV410,"CHAN Shun Kuen, Eric",陳舜權,"1,4,6,9"
AEQ982,CNCB (Hong Kong) Capital Limited,BOA062,CHEN Yaochao,陳耀超,9
AEQ982,CNCB (Hong Kong) Capital Limited,BLJ657,CHUNG Jia Hsung,鍾佳勳,"1,4,9"
AEQ982,CNCB (Hong Kong) Capital Limited,AMA891,GUO Yang,郭洋,"4,9"
AEQ982,CNCB (Hong Kong) Capital Limited,BRE190,LIU Boyang,劉博阳,4
AEQ982,CNCB (Hong Kong) Capital Limited,ASD199,YICK Ho Chuen,易浩泉,1
AEQ982,CNCB (Hong Kong) Capital Limited,BWO024,YUN Xiaofei,云晓飛,"1,4,6,9"
AEQ982,CNCB (Hong Kong) Capital Limited,ATS379,ZHANG Dijiang,張締江,6
AEQ982,CNCB (Hong Kong) Capital Limited,AYS118,ZHANG Dingfang,張定昉,"1,4,6"
AEQ982,CNCB (Hong Kong) Capital Limited,BOT103,ZHANG Kexin,張可欣,"1,4"
AEQ982,CNCB (Hong Kong) Capital Limited,BNG180,ZHOU Yiming,周一鳴,"1,4,6"
AFD052,CSC Futures (HK) Limited,AKW443,CHEN Chih-Kuo,陳治國,4
AFD052,CSC Futures (HK) Limited,AXH325,SHI Tian,時天,"1,2,4,5"
AFD052,CSC Futures (HK) Limited,BGX947,XU Jiaqi,徐嘉琪,"1,2"
AFD052,CSC Futures (HK) Limited,APO634,YEUNG Kin Ho,楊建豪,"1,2,5"
AFD202,CVC Asia Pacific Limited,ARE674,HONG Minki Brian,,"1,4,6"
AFD202,CVC Asia Pacific Limited,AMU469,LAM Alvin Tsz-wang,林子弘,"1,4,6"
AFD202,CVC Asia Pacific Limited,AIH187,"MAK Lok Qun, Denise",麥樂坤,1
AFD202,CVC Asia Pacific Limited,AWP694,ROWOLD Niklas Roman,,"1,4"
AFD202,CVC Asia Pacific Limited,BIK665,SUH Eugene Won,,"1,4"
AFD202,CVC Asia Pacific Limited,AOI996,WATGANAI Hans Wang,,"1,4,6"
AFQ783,CWB Hong Kong Limited,BEQ539,CHEUNG Robert Lock Yen,張諾仁,"1,4,9"
AFQ783,CWB Hong Kong Limited,BOG975,JEN Robert,任志剛,"1,4,9"
AFQ783,CWB Hong Kong Limited,ASM080,LIN Yen-Chun,林彥君,"1,4,9"
AFQ783,CWB Hong Kong Limited,BWF522,Li Helen,,"1,4,9"
AGC028,China Everbright Assets Management Limited,AZV666,KUMARGURU Girish,,"4,9"
AGC028,China Everbright Assets Management Limited,AEI015,"LAW Chung Hang, Albert",羅重恆,"1,4,9"
AGC028,China Everbright Assets Management Limited,BGE553,SI Jia,司嘉,"1,4,9"
AGC028,China Everbright Assets Management Limited,BEL258,ZUO Shaojie,左少杰,"1,4,9"
AGD005,CF Global (HK) Limited,ABN509,LAWRENCE Andrew Charles,,"1,2"
AGD005,CF Global (HK) Limited,AYB205,NG Chit Hei Stephenson,吳哲熙,"1,2"
AGJ534,CCB Securities Limited,ABP743,CHENG Tat Kin,鄭達堅,1
AGJ534,CCB Securities Limited,BGP848,WU Ching Luk,胡清略,1
AGJ534,CCB Securities Limited,AMO642,"WU Chun Wan, David",胡震寰,1
AGJ534,CCB Securities Limited,AFK371,"YUEN Cheuk Ting, Portia",袁婥婷,1
AGO928,"China Merchants Futures (HK) Co., Limited",AKY988,"CHAN Man, Anna",陳敏,2
AGO928,"China Merchants Futures (HK) Co., Limited",BRP943,CHEN Zhujing,陳珠菁,2
AGO928,"China Merchants Futures (HK) Co., Limited",AKI549,CONG Lufeng,叢魯峰,2
AGO928,"China Merchants Futures (HK) Co., Limited",BXC023,LIU Haiyan,刘海燕,"2,5"
AGO928,"China Merchants Futures (HK) Co., Limited",AMY869,NG Kei Yuen,吳基源,"2,5"
AGO928,"China Merchants Futures (HK) Co., Limited",AXG902,TSOI Chun Hei,蔡進曦,2
AGO928,"China Merchants Futures (HK) Co., Limited",AGK929,WONG Weng Kuong,黃永光,2
AGO928,"China Merchants Futures (HK) Co., Limited",BPD881,ZHANG Lixin,張立新,"2,5"
AHA851,China Alpha Fund Management (HK) Limited,AFR862,"TSE Ka Yee, Brenda",謝嘉儀,4
AHA851,China Alpha Fund Management (HK) Limited,ADA695,WANG Junyan,王俊彥,"4,9"
AHA851,China Alpha Fund Management (HK) Limited,AVO987,XING Cheng,邢程,"4,9"
AHA851,China Alpha Fund Management (HK) Limited,BON573,YEUNG Wing Yee Teresa,楊詠怡,"4,9"
AHD688,Canterbury Capital Limited,APH572,WONG Ying Kit,黃英傑,"4,9"
AHD688,Canterbury Capital Limited,BSJ759,YAO YANYAN,姚艷艷,"4,9"
AHD688,Canterbury Capital Limited,BVF353,ZHANG Jing,張靖,"4,9"
AHQ356,CASH Wealth Management Limited,AHC852,LAI Wai Kwong Daryl,黎偉光,"1,4,9"
AHQ356,CASH Wealth Management Limited,BFX093,MA Ka Chun,馬家俊,"1,4,9"
AHQ356,CASH Wealth Management Limited,BRW048,TANG Kwok Ho,鄧國豪,4
AHQ356,CASH Wealth Management Limited,AXF253,WONG Sze Kai,黃思佳,9
AHZ640,Cheetah Investment Management Limited,AFG241,"HO Yuk Yee, Yvonne",何玉兒,"1,4,9"
AHZ640,Cheetah Investment Management Limited,AFS828,"WONG Kin Jeon, Raymond",王健漳,"1,4,9"
AJF262,CTBC Asia Limited,AKJ181,CHENG Wei-Chih,鄭偉智,"1,4,9"
AJF262,CTBC Asia Limited,AEJ620,CHOU Shi Chung,周世昌,"1,6"
AJF262,CTBC Asia Limited,AMR811,LAI Tsao Lung,賴朝隆,"1,4,9"
AJF262,CTBC Asia Limited,AXL089,LIN Hao Wei,林豪威,9
AJF262,CTBC Asia Limited,BJI250,YEN Chun-Hsien,顏君憲,"1,4,9"
AJF262,CTBC Asia Limited,BIL940,YIP Matthew Shu Shun,葉樹信,"1,4"
AJF262,CTBC Asia Limited,BRP920,ZHANG Chi,張馳,6
AJF358,Centaline Wealth Management Limited,BOG288,BUT Ming Sze,畢銘詩,"4,9"
AJF358,Centaline Wealth Management Limited,AED918,"CHAN Tsz Tung, Anthony",陳子棟,"4,9"
AJF358,Centaline Wealth Management Limited,ALI083,"CHU Chi Ling, Janice",朱芷寧,9
AJF358,Centaline Wealth Management Limited,AVO458,HUNG Lung Chuen,洪龍荃,"1,4,9"
AJF358,Centaline Wealth Management Limited,AKI963,LEE Chun Ho,李振豪,"1,4,9"
AJF358,Centaline Wealth Management Limited,AJB964,LEUNG Kwan Yu,梁鈞宇,"1,4,9"
AJL465,"CMS Capital (HK) Co., Limited",BXC023,LIU Haiyan,刘海燕,"4,9"
AJL465,"CMS Capital (HK) Co., Limited",BQO308,LU Gonglu,鲁公路,"4,9"
AJL465,"CMS Capital (HK) Co., Limited",BGE918,ZHANG Xiangjie,張翔傑,"4,9"
ALF042,CASH Asset Management Limited,BFX093,MA Ka Chun,馬家俊,"4,5,9"
ALF042,CASH Asset Management Limited,AYH813,MACK Andrew Kar Lung,麥嘉龍,9
ALF042,CASH Asset Management Limited,AXF253,WONG Sze Kai,黃思佳,"4,5,9"
ALY556,Capital Global Management Limited,AKX325,CHEN Chien Chih,陳建智,"4,9"
ALY556,Capital Global Management Limited,ATN992,CHEN Hsiao Yi,陳孝儀,9
ALY556,Capital Global Management Limited,BOG416,CHEN Po-Liang,陳柏良,1
ALY556,Capital Global Management Limited,AMO986,CHOW Alice Wai Yin,周慧妍,"1,4,9"
ALY556,Capital Global Management Limited,BCN750,HU Tzu Han,胡祖菡,"1,4"
ALY556,Capital Global Management Limited,ALP977,TSANG Kennedy Kin Tak,曾建德,"1,4"
ALY556,Capital Global Management Limited,AFD156,WONG Wah,王華,"1,4"
ALY556,Capital Global Management Limited,AQS401,WUNG Sheng-Bin,翁勝彬,"4,9"
ALY556,Capital Global Management Limited,AYY814,YAU Lai Ying Kinnie,尤儷縈,"1,4,9"
AMC942,Central Asset Investments and Management Holdings (HK) Limited,AWK379,CHAN Jeffrey Thomas,陳嘉銓,9
AMC942,Central Asset Investments and Management Holdings (HK) Limited,ARN392,DHILLON Deepinder Singh,,9
AMC942,Central Asset Investments and Management Holdings (HK) Limited,ABY970,TAM Eddie Sun-keung,譚新強,9
AMC942,Central Asset Investments and Management Holdings (HK) Limited,AMC949,YIP Stephen Ming Chun,葉明溱,9
ALZ367,Cohen & Steers Asia Limited,ALT876,CHAN Wai Ming,陳偉明,"1,4"
ALZ367,Cohen & Steers Asia Limited,AQF006,DING Yanlin,丁燕琳,4
ALZ367,Cohen & Steers Asia Limited,AZC150,GARROOD Dane Alan,,"4,9"
ALZ367,Cohen & Steers Asia Limited,AKY178,"KO Chi Yeung, Leon",高子揚,4
ALZ367,Cohen & Steers Asia Limited,ANJ635,"LAM Hin Fai, Steve",林顯輝,1
ALZ367,Cohen & Steers Asia Limited,AED091,LEUNG Wai Lim,梁緯濂,"1,4,9"
ALZ367,Cohen & Steers Asia Limited,BKA282,MORTON Benjamin Wesley,,4
AMI621,CCB International Asset Management Limited,BUM142,CHEN Feng,陳峰,"1,4,9"
AMI621,CCB International Asset Management Limited,API186,LEE Yat Chun,李逸俊,"1,4,9"
AMI621,CCB International Asset Management Limited,AWW550,LI Lu,李璐,"1,4,9"
AMI621,CCB International Asset Management Limited,ATM617,LI Qianxin,栗潛心,1
AMI621,CCB International Asset Management Limited,BNQ456,WANG Zhe,王喆,"1,4,9"
AMI621,CCB International Asset Management Limited,BVK730,XIU Qi,修琦,"1,4,9"
AMI621,CCB International Asset Management Limited,BUL410,ZHANG Lan,張嵐,"1,4,9"
AMI621,CCB International Asset Management Limited,BRR381,ZHANG Qiang,張強,"1,4,9"
AML955,Citadel Asia Limited,BPW910,BAUDEWYN Liesbeth Ann,,9
AML955,Citadel Asia Limited,BMP069,BOLDUC Anne-Julie,,9
AML955,Citadel Asia Limited,BFR255,COLVEN Peter Richard Thomas,,"1,9"
AML955,Citadel Asia Limited,AKQ614,DENG Hongming,鄧紅鳴,1
AML955,Citadel Asia Limited,AOQ772,PRESCOTT Lewis Edward,,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BAZ566,CANG Tianyang,倉天楊,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BTM769,CHEN Gang,陳剛,"1,4,9"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BGU213,DIAO Zhihai,刁智海,"1,4,9"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BCB549,FAN Yang,范陽,"1,4,9"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BFU578,LI Biying,李碧莹,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,ASF476,LIN Ning,林宁,"1,4,9"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BDE493,LIU Fei,劉飛,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BGL501,LIU Yuan,劉源,"1,4,9"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,AFI668,SEN Tung Ning,神東寧,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BSS939,WAN Zeng,万曾,"1,4"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BHJ011,WANG Junqi,王浚淇,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,AMA894,XIONG Sifei,熊斯飛,"1,4,9"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BSS928,YANG Mengyang,楊孟洋,"1,4,9"
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,AWW324,YU Weijiang,于維疆,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BOL768,ZHANG Keming,張珂銘,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BFM557,ZHANG Tiansheng,張天晟,9
ANA195,China International Capital Corporation Hong Kong Asset Management Limited,BGL112,ZHOU Jiaxing,周佳興,"1,4,9"
ANE045,CC SIF Advisory Limited,AFX055,CHEUNG Miu,張渺,"1,4,6,9"
ANE045,CC SIF Advisory Limited,ARL160,WONG Ka Shing,黃家成,"1,4,6,9"
ANE045,CC SIF Advisory Limited,AOX091,YEUNG Ling Yan,楊苓欣,"1,4,6,9"
ANL846,"China Life Franklin Asset Management Co., Limited",AYT667,"CHIA Pock Yuen, Eddie",謝博渊,"1,4,9"
ANL846,"China Life Franklin Asset Management Co., Limited",BJI746,HE Xuanlai,賀烜來,"4,9"
ANL846,"China Life Franklin Asset Management Co., Limited",BSE050,WU Qing,武慶,"4,9"
ANL846,"China Life Franklin Asset Management Co., Limited",AXI245,YAN Ligang,閆立罡,"1,4,9"
ANR904,China Eagle Asset Management Limited,BBQ710,KE Jingjing,柯菁菁,"4,9"
ANR904,China Eagle Asset Management Limited,ARG107,LIU Teng,劉騰,"4,9"
ANR904,China Eagle Asset Management Limited,AFA127,ZHANG Juying Jerry,張巨英,"4,9"
AOH421,China Everbright Investment Management Limited,BST366,FAN Wenhan,范文含,"1,4,9"
AOH421,China Everbright Investment Management Limited,ALB225,HU Jiangdong,胡江東,"4,9"
AOH421,China Everbright Investment Management Limited,ANU253,"POON Sze Wai, Kelvin",潘仕偉,"1,4,9"
AOH421,China Everbright Investment Management Limited,BOF377,ZHAO Xiaohan,趙小寒,"4,9"
AOS326,Cornucopia Capital Partners Limited,AOS331,CHAN Kin Wai,陳建瑋,9
AOS326,Cornucopia Capital Partners Limited,APQ327,WANG Albert,王文奇,9
AOS685,Capital Focus Asset Management Limited,AAC044,"CHAN Wing Yau, George",陳永祐,"4,9"
AOT542,Carret Private Capital Limited,ABC352,CHEE Sing Chung,支聲鐘,"1,4,9"
AOT542,Carret Private Capital Limited,ACO173,HO Kenneth Kent,何祖光,"1,4,9"
AOT600,Cephei Capital Management (Hong Kong) Limited,AEF130,LI Gang,李剛,9
AOT600,Cephei Capital Management (Hong Kong) Limited,AOT609,MIN Yu,閔昱,9
AOT600,Cephei Capital Management (Hong Kong) Limited,APB398,NING Jing,宁靜,9
AOT600,Cephei Capital Management (Hong Kong) Limited,BDG891,PEI Yinyin,裴愔愔,9
APD477,CDH Investments Management (Hong Kong) Limited,AOY410,HU Xiaoling,胡晓玲,"1,4,9"
APD477,CDH Investments Management (Hong Kong) Limited,BIA282,HUANG Yan,黃炎,"1,4,9"
APD477,CDH Investments Management (Hong Kong) Limited,AFP793,"HUI Chi Kin, Max",許志堅,9
APD477,CDH Investments Management (Hong Kong) Limited,AJA132,JIAO Shuge,焦樹閣,"1,4,9"
APD477,CDH Investments Management (Hong Kong) Limited,AVT708,REN Yiqiao,任亦樵,"1,4,9"
APD477,CDH Investments Management (Hong Kong) Limited,AKW922,SCHONBERGER Stuart,,"1,9"
APD477,CDH Investments Management (Hong Kong) Limited,BIA242,WANG Lin,王霖,"1,4,9"
APD477,CDH Investments Management (Hong Kong) Limited,AFN509,WU Shangzhi,吳尚志,"1,4,9"
APD477,CDH Investments Management (Hong Kong) Limited,ARJ279,YING Wei,應偉,"1,4,9"
API164,CIS Securities Asset Management Limited,AFX173,"CHAN Tsz Kin, Ernest",陳子建,"1,4,9"
API164,CIS Securities Asset Management Limited,ARE721,"CHUNG Ho Wai, Alan",鍾浩為,"1,2,4,9"
API164,CIS Securities Asset Management Limited,BID232,HO Cheuk Ming,何卓鳴,"1,2"
AQC179,Chartwell Capital Limited,AOG463,"CHAN Wai Yan, Ronald",陳惠仁,"4,9"
AQC179,Chartwell Capital Limited,BKB172,HUI Wing Fai Danny,,9
AQC179,Chartwell Capital Limited,ADS620,"JIM Pok Man, Daniel",詹博聞,"4,9"
AQC179,Chartwell Capital Limited,AMP580,NG Kwun Wa,吳冠樺,"4,9"
AQC179,Chartwell Capital Limited,AHR672,TSAI Jack Du,蔡篤傑,"4,9"
AQU760,Creative Asset Management Limited,ACW848,RUCQUOI-BERGER John Timothy,伯希儒,"4,9"
AQU760,Creative Asset Management Limited,AFV209,TSANG Kwai Fong,曾桂芳,"4,9"
AQU760,Creative Asset Management Limited,AHA661,WU Chun Wah,鄔鎮華,"4,9"
ARB697,Celera Markets Limited,AJE846,HOLLAND Thomas Patrick,,9
ARB697,Celera Markets Limited,AVA659,LAW Pui Kiu,羅姵喬,"1,4,9"
ARB697,Celera Markets Limited,ABV200,"WONG Chi Wah, Philip",黃智華,"1,4"
ARE947,CITIC Securities Asset Management (HK) Limited,BDE572,CAO Xia,曹霞,"1,4,9"
ARE947,CITIC Securities Asset Management (HK) Limited,AJC639,COLLARD Jeremy David,,"1,2,4,9"
ARE947,CITIC Securities Asset Management (HK) Limited,BNC713,LI En Tzu,李恩慈,"4,9"
ARE947,CITIC Securities Asset Management (HK) Limited,BWN287,LIU Jing,刘靖,9
ARE947,CITIC Securities Asset Management (HK) Limited,BAJ277,XU Jianqiang,許建強,"1,2,4,9"
ARE947,CITIC Securities Asset Management (HK) Limited,AOL699,ZHANG Zheng,張正,"1,4,9"
ARH684,Chief Great China Assets Management Limited,BGM315,KWOK Heung Yan,郭香恩,9
ARH684,Chief Great China Assets Management Limited,ATN174,LIANG Hao,梁昊,9
ARH684,Chief Great China Assets Management Limited,AJL618,YE Haiya,葉海亞,9
ARN075,CSOP Asset Management Limited,ARN081,DING Chen,丁晨,"1,4,9"
ARN075,CSOP Asset Management Limited,AXU973,HE Melody Xian,,"1,4"
ARN075,CSOP Asset Management Limited,BCI337,SHAO Wei,邵尉,"4,9"
ARN075,CSOP Asset Management Limited,ALN110,"SHUM Lap Chun, Annie",沈立雋,"4,9"
ARN075,CSOP Asset Management Limited,BHO329,WANG Yi,王毅,"4,9"
ARN075,CSOP Asset Management Limited,AXS400,ZHANG Bo,張博,9
ARN075,CSOP Asset Management Limited,BBG788,ZHANG Guoyan,張國彥,"4,9"
ARS756,"CMS Asset Management (HK) Co., Limited",BOB236,CHEN Gong,陳弓,"1,4,9"
ARS756,"CMS Asset Management (HK) Co., Limited",BXG906,CHEN Ping,陳平,"4,9"
ARS756,"CMS Asset Management (HK) Co., Limited",ANM983,CHEUNG Man Ling,張敏玲,"1,4,9"
ARS756,"CMS Asset Management (HK) Co., Limited",BXC023,LIU Haiyan,刘海燕,"4,9"
ARS988,China Asset Management (Hong Kong) Limited,AXF093,CAI Jing,蔡靖,"1,4"
ARS988,China Asset Management (Hong Kong) Limited,AUW213,CAI Yu,蔡玉,"1,4,9"
