corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
AAB639,Daiwa Capital Markets Hong Kong Limited,ABN564,HETHERINGTON John Charles,John Charles,John Charles,Hetherington,夏嶺東,4
AAB639,Daiwa Capital Markets Hong Kong Limited,BSK244,IWASE Hiroki,Hiroki,Hiroki,Iwase,岩瀬弘毅,"1,2,4"
AAB639,Daiwa Capital Markets Hong Kong Limited,ANG294,JENN Marc Steven,Marc Steven,Marc Steven,Jenn,,1
AAB639,Daiwa Capital Markets Hong Kong Limited,AAF232,"LAU Ching Yee, Rebecca",Rebecca,Ching Yee,Lau,劉靜儀,1
AAB639,Daiwa Capital Markets Hong Kong Limited,BAH310,MA Ching Yan,Ching Yan,Ching Yan,Ma,馬靖仁,6
AAB639,Daiwa Capital Markets Hong Kong Limited,AMA937,"SHEN Wei Ling, Janet",Janet,Wei Ling,Shen,沈慧玲,"1,6"
AAB639,Daiwa Capital Markets Hong Kong Limited,BRQ535,TAKAHASHI Ryuji,Ryuji,Ryuji,Takahashi,,1
AAB639,Daiwa Capital Markets Hong Kong Limited,AGU752,TOMIYAMA Takuya,Takuya,Takuya,Tomiyama,富山卓也,"1,4"
AAB639,Daiwa Capital Markets Hong Kong Limited,AEK749,WONG Ka Man,Ka Man,Ka Man,Wong,黃家文,6
AAB639,Daiwa Capital Markets Hong Kong Limited,BPE258,YAMAGUCHI YUSUKE,Yusuke,Yusuke,Yamaguchi,山口悠介,"1,2"
AAB639,Daiwa Capital Markets Hong Kong Limited,AVV546,YANG Bei,Bei,Bei,Yang,楊北,"1,6"
AAB639,Daiwa Capital Markets Hong Kong Limited,ATM945,ZHU Hongxia,Hongxia,Hongxia,Zhu,諸紅霞,"1,2,4,6"
AAD647,DBS Vickers (Hong Kong) Limited,AEO284,HUI See Mun,See Mun,See Mun,Hui,許思敏,4
AAD647,DBS Vickers (Hong Kong) Limited,AFW689,"LAM Che Jung, Dennis",Dennis,Che Jung,Lam,林子津,"1,4"
AAD647,DBS Vickers (Hong Kong) Limited,ACN893,LAU Wing Nam,Wing Nam,Wing Nam,Lau,劉永楠,1
AAD647,DBS Vickers (Hong Kong) Limited,AVI176,"LEUNG Pak Hong, Elton",Elton,Pak Hong,Leung,梁栢康,1
AAD647,DBS Vickers (Hong Kong) Limited,AFT552,YAU Cheuk Man,Cheuk Man,Cheuk Man,Yau,丘卓文,4
AAE430,DBS Asia Capital Limited,ANT456,CHEN Eric Kay,Eric Kay,Eric Kay,Chen,陳柏甫,"1,4,6"
AAE430,DBS Asia Capital Limited,AUM188,CHEUNG Yan To,Yan To,Yan To,Cheung,張甄陶,"1,4,6"
AAE430,DBS Asia Capital Limited,AZH660,CHU Lindsay Li-shen,Lindsay,Lindsay Li-Shen,Chu,,"1,4,6"
AAE430,DBS Asia Capital Limited,AVX291,LAI Jerry Chi Yuen,Jerry,Jerry Chi Yuen,Lai,黎志遠,"1,4,6"
AAE430,DBS Asia Capital Limited,AHC010,LIU Kam Yin,Kam Yin,Kam Yin,Liu,廖錦賢,"1,4,6"
AAE430,DBS Asia Capital Limited,BJO509,MENG Fan En,Fan En,Fan En,Meng,孟繁恩,"1,4,6"
AAE430,DBS Asia Capital Limited,AFU418,"PAK Yuen Mei, Emma",Emma,Yuen Mei,Pak,白菀媚,"1,4,6"
AAE430,DBS Asia Capital Limited,AEY337,"YU Koon Ying, Harry",Harry,Koon Ying,Yu,余冠英,"1,4,6"
AAG007,Duncan Futures Limited,AEJ164,CHEUNG Kwok Yan,Kwok Yan,Kwok Yan,Cheung,張國仁,"2,5"
AAG007,Duncan Futures Limited,AZX593,LEUNG Yu Hin,Yu Hin,Yu Hin,Leung,梁宇軒,"2,5"
AAJ984,Deutsche Securities Asia Limited,AGP868,CHAKRAVORTY Ananda,Ananda,Ananda,Chakravorty,陳安迪,6
AAJ984,Deutsche Securities Asia Limited,AFA799,CHANG Yick Wai Albert,Yick,Yick Wai Albert,Chang,張亦衛,6
AAJ984,Deutsche Securities Asia Limited,ALA688,"CHUNG Ho Fai, Derek",Derek,Ho Fai,Chung,鍾晧輝,6
AAJ984,Deutsche Securities Asia Limited,BUN520,HILLHOUSE Craig Jon,Craig Jon,Craig Jon,Hillhouse,,2
AAJ984,Deutsche Securities Asia Limited,BBK034,JIANG Zhiwei,Zhiwei,Zhiwei,Jiang,蔣志巍,6
AAJ984,Deutsche Securities Asia Limited,AFY824,LAI King Chi,King Chi,King Chi,Lai,黎敬之,"1,6"
AAJ984,Deutsche Securities Asia Limited,BRP552,MENG Yue,Yue,Yue,Meng,孟玥,2
AAJ984,Deutsche Securities Asia Limited,ADT374,MOREIRA Nicholas Hubert,Nicholas,Nicholas Hubert,Moreira,,1
AAJ984,Deutsche Securities Asia Limited,BPM236,PONTAK Beaux Richard Joseph,Beaux,Beaux Richard Joseph,Pontak,潘泰柏,1
AAJ984,Deutsche Securities Asia Limited,BFI763,SHIH Pai Chien,Pai Chien,Pai Chien,Shih,施百謙,2
AAJ984,Deutsche Securities Asia Limited,AOK964,TAO Yeqing,Yeqing,Yeqing,Tao,陶冶青,2
AAJ984,Deutsche Securities Asia Limited,AXO614,WANG Rui,Rui,Rui,Wang,王瑞,6
AAJ984,Deutsche Securities Asia Limited,BBE278,WANG Zhizheng,Zhizheng,Zhizheng,Wang,王之諍,6
AAW265,Delta Asia Securities Limited,AAA969,"AU Chong Kit, Stanley",Stanley,Chong Kit,Au,區宗傑,"1,4,9"
AAW265,Delta Asia Securities Limited,AKW747,AU Lai Chong,Lai Chong,Lai Chong,Au,區麗莊,"1,2,4,5,9"
AAW265,Delta Asia Securities Limited,ADI133,"CHEUNG Ka Kee, Keith",Keith,Ka Kee,Cheung,張家祺,"1,2,5"
AAW265,Delta Asia Securities Limited,AEM387,TO Wai Man,Wai Man,Wai Man,To,陶偉民,"2,5"
AAW265,Delta Asia Securities Limited,AHN527,TONG Ngat,Ngat,Ngat,Tong,唐屹,"1,2,4"
AAW265,Delta Asia Securities Limited,AAJ533,YEUNG Chi Fai,Chi Fai,Chi Fai,Yeung,楊志揮,"1,2"
ABQ129,DL Brokerage Limited,AAB678,CHUN Sui Sing,Sui Sing,Sui Sing,Chun,秦瑞昇,"1,4"
ABQ129,DL Brokerage Limited,AAB831,LEE Jor Hung,Jor Hung,Jor Hung,Lee,李佐雄,"1,4"
ABQ129,DL Brokerage Limited,BRD858,LEE Ty Gai Richard,Ty,Ty Gai Richard,Lee,李堤基,1
ABS418,DaoKou Securities Limited,BHD770,WONG Wai Wan,Wai Wan,Wai Wan,Wong,王慧雲,1
ABS418,DaoKou Securities Limited,AQX406,YEUNG Chung Lung,Chung Lung,Chung Lung,Yeung,楊仲龍,1
ABZ414,Delta Asia Financial Futures Limited,ADI133,"CHEUNG Ka Kee, Keith",Keith,Ka Kee,Cheung,張家祺,"2,5"
ABZ414,Delta Asia Financial Futures Limited,AEM387,TO Wai Man,Wai Man,Wai Man,To,陶偉民,"2,5"
ABZ414,Delta Asia Financial Futures Limited,AHN527,TONG Ngat,Ngat,Ngat,Tong,唐屹,2
ABZ414,Delta Asia Financial Futures Limited,AAJ533,YEUNG Chi Fai,Chi Fai,Chi Fai,Yeung,楊志揮,2
ACJ870,DWS Investments Hong Kong Limited,BJV533,GIBBS Robert John Stuart,Robert,Robert John Stuart,Gibbs,,"1,4,9"
ACJ870,DWS Investments Hong Kong Limited,AMM348,KIM So Yeon,So Yeon,So Yeon,Kim,,"1,4"
ACJ870,DWS Investments Hong Kong Limited,AHC006,KWAN Chi Tak,Chi Tak,Chi Tak,Kwan,關志德,"1,4,9"
ACJ870,DWS Investments Hong Kong Limited,BAI043,"KWAN Chit Man, Osvaldo",Osvaldo,Chit Man,Kwan,關捷文,"1,4,9"
ACJ870,DWS Investments Hong Kong Limited,BAO165,LUI Kevin Kei Tung,Kevin,Kevin Kei Tung,Lui,呂紀東,"1,2"
ACJ870,DWS Investments Hong Kong Limited,AQJ086,SCHOEPPL-JOST Elke,Schoeppl-Jost,Schoeppl-Jost,Elke,,"1,2,4,9"
ACJ870,DWS Investments Hong Kong Limited,BIS581,WANG Vanessa,Vanessa,Vanessa,Wang,王靜雯,"1,4,9"
ACD651,D.J. Securities Limited,BSD414,IP Ho Wang Cedric,Ho,Ho Wang Cedric,Ip,葉浩宏,"1,4"
ACD651,D.J. Securities Limited,ACC359,"LOH Wai, David",David,Wai,Loh,陸偉,"1,4"
AFB643,Deloitte & Touche Corporate Finance Limited,ADU753,HO Wai Kin,Wai Kin,Wai Kin,Ho,何偉健,"1,4,6"
AFB643,Deloitte & Touche Corporate Finance Limited,BIR520,LI LI,Li,Li,Li,李禮,"1,4,6"
AFB643,Deloitte & Touche Corporate Finance Limited,AOJ340,NG Hing Leung,Hing Leung,Hing Leung,Ng,吳興良,6
AFM972,Dah Sing Securities Limited,ADZ606,CHAN Cliff Wai Kin,Cliff,Cliff Wai Kin,Chan,陳維堅,1
AFM972,Dah Sing Securities Limited,AQH466,CHENG Yu Chung,Yu Chung,Yu Chung,Cheng,鄭羽冲,1
AFM972,Dah Sing Securities Limited,APL313,"WONG Mei Chun, Phoebe",Phoebe,Mei Chun,Wong,王美珍,1
APF565,D. E. Shaw & Co. (Asia Pacific) Limited,ARP386,DING Qinbo,Qinbo,Qinbo,Ding,丁秦波,9
APF565,D. E. Shaw & Co. (Asia Pacific) Limited,AWO623,IBUKI Jumpei,Jumpei,Jumpei,Ibuki,伊吹淳平,1
APF565,D. E. Shaw & Co. (Asia Pacific) Limited,AQX925,PATRIC Kevin Lawrence,Kevin,Kevin Lawrence,Patric,,"1,9"
APF565,D. E. Shaw & Co. (Asia Pacific) Limited,BMV524,SUSEL Zachary Swid,Zachary Swid,Zachary Swid,Susel,,1
ARQ101,Davidson Kempner Asia Limited,AQM175,CHA Sang Youn,Sang Youn,Sang Youn,Cha,車相潤,1
ARQ101,Davidson Kempner Asia Limited,BQP762,KRISHANTHAN Jogeesvaran,Jogeesvaran,Jogeesvaran,Krishanthan,,9
ARQ101,Davidson Kempner Asia Limited,ARI633,PATEL Punit Nayan,Punit,Punit Nayan,Patel,,"1,9"
AQE643,Dragon Capital Management (HK) Limited,AYT871,PHANG Sui Yang,Sui Yang,Sui Yang,Phang,彭修阳,"4,9"
AQE643,Dragon Capital Management (HK) Limited,ATD465,SCHURCH Beat,Beat,Beat,Schurch,,"4,9"
AQE643,Dragon Capital Management (HK) Limited,AAI329,SCRIVEN Dominic Timothy Charles,Dominic,Dominic Timothy Charles,Scriven,,"4,9"
AQE643,Dragon Capital Management (HK) Limited,BRI355,YEUNG Sze Ki,Sze Ki,Sze Ki,Yeung,楊詩琪,"4,9"
ARP532,DTC Investment Management (HK) Limited,AOM705,CHOY Hing Lum,Hing Lum,Hing Lum,Choy,蔡慶霖,"1,9"
ARP532,DTC Investment Management (HK) Limited,AFW899,LI Siu Kim,Siu Kim,Siu Kim,Li,李紹劍,9
ARP532,DTC Investment Management (HK) Limited,AMF146,LIU Wei,Wei,Wei,Liu,劉巍,"1,9"
ATE045,Da Cheng International Asset Management Company Limited,AQO253,BAI Yang,Yang,Yang,Bai,柏楊,"1,4,9"
ATE045,Da Cheng International Asset Management Company Limited,AQZ592,LAM Chun Fai,Chun Fai,Chun Fai,Lam,林振輝,"1,4,9"
ATE045,Da Cheng International Asset Management Company Limited,BIM634,TAN Xiaogang,Xiaogang,Xiaogang,Tan,譚曉岡,"1,4,9"
ATE045,Da Cheng International Asset Management Company Limited,BMJ775,XIAO Jian,Jian,Jian,Xiao,肖劍,"1,4,9"
ATE045,Da Cheng International Asset Management Company Limited,BAO697,YAN Lixian,Lixian,Lixian,Yan,閻俐先,"1,4"
AXF752,Dymon Asia Capital (HK) Limited,BWN156,ENG JASON,Jason,Jason,Eng,,"1,9"
AXF752,Dymon Asia Capital (HK) Limited,BWN157,KAN SHUNG KEI KENNETH,Shung,Shung Kei Kenneth,Kan,,"1,9"
AXF752,Dymon Asia Capital (HK) Limited,APQ242,"LEE Yuen Ann, Geoffery",Geoffery,Yuen Ann,Lee,李永安,"1,9"
AXF752,Dymon Asia Capital (HK) Limited,AOB350,LUO Jiabin,Jiabin,Jiabin,Luo,,"1,9"
AZN664,dLab Asset Management Limited,BDD021,SANDAYA Hiroyoshi,Hiroyoshi,Hiroyoshi,Sandaya,,"4,9"
AZN664,dLab Asset Management Limited,AXI172,TAKAKU Hirofumi,Hirofumi,Hirofumi,Takaku,,"4,9"
BCZ158,Dantai Capital Limited,BAD323,WANG Yuan,Yuan,Yuan,Wang,汪源,9
BCZ158,Dantai Capital Limited,ALP923,XIANG Jisong,Jisong,Jisong,Xiang,項吉松,9
BCZ158,Dantai Capital Limited,BOA935,XU Nuo,Nuo,Nuo,Xu,許諾,9
BDA760,DaoKou Asset Management Limited,BHD770,WONG Wai Wan,Wai Wan,Wai Wan,Wong,王慧雲,"4,9"
BDA760,DaoKou Asset Management Limited,AQX406,YEUNG Chung Lung,Chung Lung,Chung Lung,Yeung,楊仲龍,"4,9"
BDE251,Dignari Capital Partners (HK) Limited,APM150,CHAN Pui Ying,Pui Ying,Pui Ying,Chan,陳佩英,"1,4,9"
BDE251,Dignari Capital Partners (HK) Limited,AIQ482,"TAN Mei Zie, Grace",Grace,Mei Zie,Tan,陳美芝,"1,4,9"
BFJ987,DL Family Office (HK) Limited,ACA526,LAM Siu Hong,Siu Hong,Siu Hong,Lam,林少康,"4,9"
BFJ987,DL Family Office (HK) Limited,ACZ396,WOO Tracy,Tracy,Tracy,Woo,鄔禮詩,"4,9"
BFK520,D'Asie Asset Management Limited,BHC891,CHENG Tsz Lok,Tsz Lok,Tsz Lok,Cheng,鄭梓樂,"1,4,9"
BFK520,D'Asie Asset Management Limited,BMW183,GONG Yilin,Yilin,Yilin,Gong,鞏奕麟,"1,4,9"
BFO328,"Datang Financial Holding Co., Limited",ANA606,CHOW Yat Chun,Yat Chun,Yat Chun,Chow,鄒溢駿,"4,9"
BFO328,"Datang Financial Holding Co., Limited",ACL967,LAM Siu Chan,Siu Chan,Siu Chan,Lam,林兆燦,"4,9"
BFT267,DC Wealth Management (HK) Limited,BUX434,FU Lifeng,Lifeng,Lifeng,Fu,傅利鳳,"1,4,9"
BFT267,DC Wealth Management (HK) Limited,ANP465,LIAO Yung-Chi,Yung-Chi,Yung-Chi,Liao,廖永祺,"1,4,9"
BGB564,Dynasty Alliance Investment Management Limited,AFK515,"LEE Kin Man, Desmond",Desmond,Kin Man,Lee,李健文,"4,9"
BGB564,Dynasty Alliance Investment Management Limited,AOM636,WANG Yong,Yong,Yong,Wang,王勇,"4,9"
BGB564,Dynasty Alliance Investment Management Limited,BKD487,WONG Yan Kei Christine,Yan,Yan Kei Christine,Wong,黃昕淇,"4,9"
BGM303,Dragonstone Capital Management Limited,BEC575,LIU Na,Na,Na,Liu,劉鈉,1
BGM303,Dragonstone Capital Management Limited,BLX820,ZHANG Cong,Cong,Cong,Zhang,張叢,"1,4,9"
BGM303,Dragonstone Capital Management Limited,BEL956,ZHANG Ke,Ke,Ke,Zhang,張鈳,"1,4,9"
BGM237,DELPHINIUM ASSETS MANAGEMENT LIMITED,ARU536,LIM Kim Huat,Kim Huat,Kim Huat,Lim,,"4,9"
BGM237,DELPHINIUM ASSETS MANAGEMENT LIMITED,ALY611,WONG Koon Ki,Koon Ki,Koon Ki,Wong,黃冠麒,"4,9"
BGM237,DELPHINIUM ASSETS MANAGEMENT LIMITED,AJN060,"YUNG Tze Mei, Dorothy",Dorothy,Tze Mei,Yung,翁紫薇,"4,9"
BGV209,Dawn Capital Limited,ARJ511,CHU Fai Sean,Fai Sean,Fai Sean,Chu,朱暉,9
BGV209,Dawn Capital Limited,BPH472,WANG Guanzhu,Guanzhu,Guanzhu,Wang,王冠珠,9
BGW874,Donghai International Asset Management (Hong Kong) Limited,BRJ053,HAN Yu,Yu,Yu,Han,韩雨,"4,9"
BGW874,Donghai International Asset Management (Hong Kong) Limited,AZD380,HUANG Chun Man,Chun Man,Chun Man,Huang,黃振文,"4,9"
BGW874,Donghai International Asset Management (Hong Kong) Limited,BJT269,LI Qinglin,Qinglin,Qinglin,Li,李青林,"4,9"
BHF615,Dakin Asset Management Limited,BJR444,MAK Ming Hoi,Ming Hoi,Ming Hoi,Mak,麥名海,9
BHF615,Dakin Asset Management Limited,APJ479,TO Sam Hung,Sam Hung,Sam Hung,To,杜三鴻,9
BHK241,Dragon Investment Advisory Company Limited,AFG448,CHEN Danhua,Danhua,Danhua,Chen,陳丹華,"1,4,9"
BHK241,Dragon Investment Advisory Company Limited,AEW118,ZHAI Jun,Jun,Jun,Zhai,翟隽,"1,4,9"
BII798,Dongxing Securities (Hong Kong) Asset Management Company Limited,BVJ862,HAO Jie,Jie,Jie,Hao,郝洁,"4,9"
BII798,Dongxing Securities (Hong Kong) Asset Management Company Limited,BEM063,LI Ning,Ning,Ning,Li,李宁,"4,9"
BJE760,Dimensional Hong Kong Limited,AIL394,KIM Joel,Joel,Joel,Kim,,"1,4,9"
BJE760,Dimensional Hong Kong Limited,ANH724,VENES Carolus Franciscus Arnoldus,Carolus,Carolus Franciscus Arnoldus,Venes,,1
BJE760,Dimensional Hong Kong Limited,BMX880,WALKER Harry Bertram Templeton,Harry,Harry Bertram Templeton,Walker,,"1,4"
BJE760,Dimensional Hong Kong Limited,AYP132,ZHANG Jing,Jing,Jing,Zhang,張婧,"1,4,9"
BLF245,DA International Asset Management Limited,APK575,AI Yuanyuan,Yuanyuan,Yuanyuan,Ai,艾元媛,"4,9"
BLF245,DA International Asset Management Limited,ATM443,LIU Xin,Xin,Xin,Liu,劉欣,"4,9"
BLF245,DA International Asset Management Limited,BEA629,ZHANG Zhipeng,Zhipeng,Zhipeng,Zhang,張智鵬,"4,9"
BMM575,Derivatives China (Hong Kong) Limited,AGH213,CHANG Ming-yu,Ming-Yu,Ming-Yu,Chang,張明瑜,9
BMM575,Derivatives China (Hong Kong) Limited,BOC709,WANG Chun Chin,Chun Chin,Chun Chin,Wang,王俊卿,9
BMM575,Derivatives China (Hong Kong) Limited,AMF141,ZHANG You,You,You,Zhang,章友,9
BMW729,Direction Capital Limited,AOJ791,XIANG Pinggui,Pinggui,Pinggui,Xiang,向平貴,"4,9"
BMZ538,Da Wan Asset Management Limited,BQF315,CHEN Taiheng,Taiheng,Taiheng,Chen,陳泰亨,"4,9"
BMZ538,Da Wan Asset Management Limited,AWB641,MA Fai,Fai,Fai,Ma,馬徽,"4,9"
BMZ538,Da Wan Asset Management Limited,BNY285,XIAN Zhiping,Zhiping,Zhiping,Xian,冼志萍,"4,9"
BJI821,des Voeux Partners Limited,BCA230,CHONG Ngai Ting,Ngai Ting,Ngai Ting,Chong,莊雅婷,"4,9"
BJI821,des Voeux Partners Limited,AKX258,WONG Chi Tai,Chi Tai,Chi Tai,Wong,黃志泰,"4,9"
BOC271,Domineer Asset Management Limited,AAF858,"LAM Hung, Allan",Allan,Hung,Lam,林雄,"4,9"
BOC271,Domineer Asset Management Limited,AAE978,SHAW Barbara,Barbara,Barbara,Shaw,邵憶芳,"4,9"
BOS734,Dingxin (Securities) Limited,BGB450,HUANG Kai,Kai,Kai,Huang,黃凱,"1,4,9"
BOS734,Dingxin (Securities) Limited,BAK537,TONG Wa Cheung,Wa Cheung,Wa Cheung,Tong,唐華翔,"1,4,9"
BPQ156,Dimension Management (HK) Limited,BGA390,LAI Michael,Michael,Michael,Lai,賴冠宇,9
BPQ156,Dimension Management (HK) Limited,ANB463,LO Yue Hin,Yue Hin,Yue Hin,Lo,羅宇軒,9
BPQ156,Dimension Management (HK) Limited,AUI263,MINESUK Thanachai,Thanachai,Thanachai,Minesuk,,9
BQF067,Draco Investment Management Limited,AEY552,PAO Lik,Lik,Lik,Pao,鮑力,"1,4,9"
BQF067,Draco Investment Management Limited,AZF224,WONG Chi Yin,Chi Yin,Chi Yin,Wong,黃智燕,"1,4,9"
BRB150,DL Digital Family Office (HK) Limited,AFW272,WONG Kenty,Kenty,Kenty,Wong,黃仲祺,9
BRB150,DL Digital Family Office (HK) Limited,BHX145,WU Mengnan,Mengnan,Mengnan,Wu,吳梦楠,"4,9"
BRB150,DL Digital Family Office (HK) Limited,BPN759,ZHOU Yuting,Yuting,Yuting,Zhou,周毓庭,4
BRT396,Dragon Legend Capital Limited,AEF848,LEUNG Ka Yau,Ka Yau,Ka Yau,Leung,梁家祐,"1,4,9"
BRT396,Dragon Legend Capital Limited,AEQ575,"LIU Wai Hing, William",William,Wai Hing,Liu,廖為興,"1,4,9"
BRT396,Dragon Legend Capital Limited,AMJ982,WONG Hiu Man,Hiu Man,Hiu Man,Wong,王曉敏,"1,4,9"
BSG906,Darkhorse Wealth Management Limited,BIJ390,HUANG Qiaowen,Qiaowen,Qiaowen,Huang,黃巧文,"1,4,9"
BSG906,Darkhorse Wealth Management Limited,AMO539,JIANG Laurie Lan,Laurie Lan,Laurie Lan,Jiang,,"1,4,9"
BSG906,Darkhorse Wealth Management Limited,BBB564,ZHOU Shuyi,Shuyi,Shuyi,Zhou,周舒怡,"1,4,9"
BSH996,Da Heng Qin (Hong Kong) Company Limited,BGH804,ZHAO Liang,Liang,Liang,Zhao,趙亮,"4,9"
BSJ116,DGA Capital Asset Management Limited,BKB170,FONG Yik Yu Edward,Yik,Yik Yu Edward,Fong,,"4,9"
BSJ116,DGA Capital Asset Management Limited,ALF673,TANG Yin Man,Yin Man,Yin Man,Tang,鄧燕敏,"4,9"
BST502,DeepAlpha Capital Limited,AMP537,WANG Min,Min,Min,Wang,王敏,"4,9"
BST502,DeepAlpha Capital Limited,BVQ174,YUAN Ye,Ye,Ye,Yuan,袁野,"4,9"
BST502,DeepAlpha Capital Limited,BUY132,ZHOU Jiawen,Jiawen,Jiawen,Zhou,周加文,"4,9"
BSM562,Doo Financial HK Limited,ANM307,CHAN Yue Yuen,Yue Yuen,Yue Yuen,Chan,陳裕源,"1,4,9"
BSM562,Doo Financial HK Limited,APB923,LI Yao Jun,Yao Jun,Yao Jun,Li,李耀君,"1,4,9"
BSM562,Doo Financial HK Limited,ACR126,"TSE Win Yee, Annie",Annie,Win Yee,Tse,謝永怡,"1,4,9"
BSU114,Delta Fund Management Company Limited,AIX144,CHAK Wai Wing,Wai Wing,Wai Wing,Chak,翟偉榮,"1,4,9"
BSU114,Delta Fund Management Company Limited,AUZ020,"HO Chi Hang, Jeffrey",Jeffrey,Chi Hang,Ho,何知衡,"1,4,9"
BTE930,DH International Fund Management Limited,BTX390,CHEN Ye,Ye,Ye,Chen,陳業,"4,9"
BTE930,DH International Fund Management Limited,BTE933,GAO Weiwei,Weiwei,Weiwei,Gao,高維維,"4,9"
BTE930,DH International Fund Management Limited,BTE934,ZHANG Zhizhou,Zhizhou,Zhizhou,Zhang,張志洲,"4,9"
BTF385,Demeter Investment Management Limited,BWF458,CHEN Qi,Qi,Qi,Chen,陳綺,"1,4,9"
BTF385,Demeter Investment Management Limited,BGP560,LI Yingying,Yingying,Yingying,Li,李瑛瑛,"1,4,9"
BTF385,Demeter Investment Management Limited,BWS964,ZHUANG Yunfang,Yunfang,Yunfang,Zhuang,庄云芳,"4,9"
BTJ474,Delftware Capital Management (HK) Limited,ACE953,HUANG Jen-te,Jen-Te,Jen-Te,Huang,黃仁德,"1,4,9"
BTJ474,Delftware Capital Management (HK) Limited,BRE674,HUANG Shao-po,Shao-Po,Shao-Po,Huang,黃少伯,"1,4,9"
BTJ474,Delftware Capital Management (HK) Limited,BIC606,LAU Kit Tin,Kit Tin,Kit Tin,Lau,劉潔鈿,"1,4,9"
BTJ474,Delftware Capital Management (HK) Limited,AJL852,TU Wen-chi,Wen-Chi,Wen-Chi,Tu,凃文棋,"1,4,9"
BTU267,Dapu Asset Management (HK) Limited,BTU268,LIU Hua,Hua,Hua,Liu,劉華,"4,9"
BTU267,Dapu Asset Management (HK) Limited,BUV068,WANG Peng,Peng,Peng,Wang,王鵬,"4,9"
BTV713,DD Asset Management Limited,AOR284,CHAN Yik Lun,Yik Lun,Yik Lun,Chan,陳奕倫,"4,9"
BTV713,DD Asset Management Limited,BOH344,XIE Xing,Xing,Xing,Xie,謝星,"4,9"
BTW109,Daoyi Asset Management Limited,BJH258,LEUNG Chin Ho,Chin Ho,Chin Ho,Leung,梁展豪,9
BTW109,Daoyi Asset Management Limited,ARB264,ZENG Liang,Liang,Liang,Zeng,曾亮,9
BTY431,Dexin Investment Management International Limited,BTV511,HUANG Huiming,Huiming,Huiming,Huang,黃慧明,"4,9"
BTY431,Dexin Investment Management International Limited,BCC524,LI Zhiqiang,Zhiqiang,Zhiqiang,Li,李志強,"4,9"
BUB155,DC Investments (HK) Limited,AVZ605,LI Pui Yan,Pui Yan,Pui Yan,Li,李珮欣,9
BUB155,DC Investments (HK) Limited,BDQ627,YIN Kecheng,Kecheng,Kecheng,Yin,尹克成,9
BUE395,DAFEI DIGITAL ASSET MANAGEMENT LIMITED,AOO273,YEUNG Chun Hei,Chun Hei,Chun Hei,Yeung,楊俊希,"4,9"
BUE395,DAFEI DIGITAL ASSET MANAGEMENT LIMITED,BIT260,YU Lok Man,Lok Man,Lok Man,Yu,余樂文,"4,9"
BUF765,Dragon Bright Holdings Limited,BOM882,CHIU Lee An,Lee An,Lee An,Chiu,邱理安,9
BUF765,Dragon Bright Holdings Limited,AGO947,LAW Fong Yuen,Fong Yuen,Fong Yuen,Law,羅方圓,"4,9"
BUF765,Dragon Bright Holdings Limited,AZY143,MO Mei Ling,Mei Ling,Mei Ling,Mo,巫美玲,"4,9"
BUK941,Deca Capital Limited,BIU928,GUO Jing,Jing,Jing,Guo,過靜,"4,9"
BUK941,Deca Capital Limited,BQZ749,HUANG Shuyun,Shuyun,Shuyun,Huang,黄淑芸,"4,9"
BUK941,Deca Capital Limited,BWK962,WANG CHAO,Chao,Chao,Wang,王超,"4,9"
BUK941,Deca Capital Limited,BHD212,ZHANG Yeshuang,Yeshuang,Yeshuang,Zhang,張燁驦,"4,9"
BUN420,Dream Peak Capital Limited,BUN422,BAO Xiaorui,Xiaorui,Xiaorui,Bao,包晓瑞,9
BUN420,Dream Peak Capital Limited,BVA240,DU Jimeng,Jimeng,Jimeng,Du,杜霽萌,9
BUO817,Delight Hong Kong Asset Management Limited,ADZ902,KONG Ming Fai,Ming Fai,Ming Fai,Kong,江明輝,"4,9"
BUO817,Delight Hong Kong Asset Management Limited,AFQ229,LEUNG Man Tat,Man Tat,Man Tat,Leung,梁文達,"4,9"
BUU936,Dream'ee (Hong Kong) Capital Limited,AMU535,CHAN Kai Chun,Kai Chun,Kai Chun,Chan,陳佳俊,9
BUU936,Dream'ee (Hong Kong) Capital Limited,BUU938,DING Jinqiong,Jinqiong,Jinqiong,Ding,丁盡琼,9
BUY049,DCL CAPITAL (HONG KONG) LIMITED,BUY059,DAI Yi,Yi,Yi,Dai,戴弋,4
BUY049,DCL CAPITAL (HONG KONG) LIMITED,BUY060,GU Suqi,Suqi,Suqi,Gu,顾苏琦,9
BUY049,DCL CAPITAL (HONG KONG) LIMITED,BUY062,QIU Yi,Yi,Yi,Qiu,邱依,4
BUY049,DCL CAPITAL (HONG KONG) LIMITED,BUY050,SONG LINGLING,Lingling,Lingling,Song,宋玲玲,"4,9"
BUY049,DCL CAPITAL (HONG KONG) LIMITED,BUY061,ZHENG Ping,Ping,Ping,Zheng,郑平,9
BVF590,DingHong Capital Management Limited,BIL469,HUANG Xingfeng,Xingfeng,Xingfeng,Huang,黃興峰,"4,9"
BVF590,DingHong Capital Management Limited,BVF592,LIU Dengke,Dengke,Dengke,Liu,劉登科,"4,9"
BVM491,Dolomites Asset Management Limited,BVM494,DING Liangchun,Liangchun,Liangchun,Ding,丁良春,9
