corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
ABW455,Anuenue Securities Limited,ABU336,YUEN Chi Fung,Chi Fung,Chi Fung,Yuen,袁志峰,"1,4"
ABP316,ALPS Capital Management Limited,BMT432,AU Vincent Wing Yiu,Vincent,Vincent Wing Yiu,Au,區永耀,"4,9"
ABP316,ALPS Capital Management Limited,ALA835,"IP Sau Mai, Amy",Amy,Sau Mai,Ip,葉秀薇,"1,4,9"
ABP316,ALPS Capital Management Limited,AQY025,LO Jonathan Ka Yan,Jonathan,Jonathan Ka Yan,Lo,羅家炘,"1,4,9"
ABP316,ALPS Capital Management Limited,ABW094,WANG Audrey,Audrey,Audrey,Wang,王允默,"1,4,9"
ABZ267,Audrey Chow Securities Limited,AGJ224,LEE Kin Wing,Kin Wing,Kin Wing,Lee,李健榮,1
ABZ267,Audrey Chow Securities Limited,AHS053,LOCK Nicholas,Nicholas,Nicholas,Lock,駱有隆,1
ACH601,Alpha Nova Capital Management Limited,BHY529,LEE Jamie Jin-ming,Jamie,Jamie Jin-Ming,Lee,李展鳴,"4,9"
ACH601,Alpha Nova Capital Management Limited,AQJ528,PANG Chun Fai,Chun Fai,Chun Fai,Pang,彭振輝,"4,9"
ACP509,ADMIS Hong Kong Limited,AYV630,TSANG Chun Hei,Chun Hei,Chun Hei,Tsang,曾俊禧,"2,5"
ACP509,ADMIS Hong Kong Limited,ACG192,WONG Wai Kwong,Wai Kwong,Wai Kwong,Wong,黃維光,"2,5"
ACU526,ABN AMRO Clearing Hong Kong Limited,ALT866,BENNETT Alex John,Alex John,Alex John,Bennett,,"1,2"
ACU526,ABN AMRO Clearing Hong Kong Limited,BNB164,"KU-MARTIN Rina, Man Sai",Ku-Martin,"Ku-Martin Rina, Man",Sai,顧旻茜,"1,2"
